C2_L_cmH2O,R2_cmH2O_s_L,MPtot_min,MPtot_max,EF1_min,EF1_max,EII_min,EII_max,EII_range,EF1_range,preference_reversal_across_loading_inputs
0.04,14.0,3.152984459603715,71.73466137636215,0.523436985815116,0.5458097353499299,0.04687397163023205,0.09161947069985979,0.04474549906962774,0.02237274953481394,False
0.04,15.0,3.1156478228199203,70.90704289426098,0.5292581347261434,0.5537466378284625,0.058516269452286614,0.10749327565692504,0.04897700620463843,0.024488503102319092,False
0.04,16.0,3.079114372454587,70.08933858199097,0.5352329183835546,0.5615662414254166,0.07046583676710914,0.12313248285083309,0.05266664608372394,0.026333323041861978,False
0.045,4.0,3.6578892718354847,80.49455488203886,0.46068620535602695,0.49534252040162835,0.009314959196743506,0.07862758928794603,0.06931263009120252,0.034656315045601405,False
0.045,5.0,3.6434300486405307,81.13529657643059,0.4606914023729871,0.4799102060334374,0.04017958793312533,0.07861719525402602,0.038437607320900694,0.019218803660450312,False
0.045,6.0,3.6186375097911916,81.20966675819335,0.46391963984035556,0.4726989185215666,0.05460216295686673,0.07216072031928894,0.017558557362422213,0.008779278681211033,False
0.045,7.0,3.5850906680608134,80.86705831177628,0.469822705233875,0.4705970198749464,0.05880596025010722,0.06035458953225002,0.001548629282142805,0.0007743146410714163,False
0.045,8.0,3.54505961283832,80.23470337009412,0.47170841607723873,0.47725800161951437,0.0454839967609713,0.05658316784552259,0.011099171084551294,0.005549585542275637,False
0.045,9.0,3.5007214158985036,79.41094339385702,0.47490852007226375,0.4855696989525334,0.028860602094933387,0.05018295985547275,0.02132235776053936,0.010661178880269628,False
0.045,10.0,3.4538694242586216,78.46797227559219,0.47950281173202214,0.49435975068057836,0.01128049863884339,0.04099437653595563,0.029713877897112245,0.01485693894855622,False
0.045,11.0,3.405871249695868,77.45724788298827,0.4850302575981555,0.5033770544527971,0.0007191058114287531,0.02993948480368892,0.029220378992260168,0.018346796854641634,True
0.045,12.0,3.357721807310158,76.41475092789199,0.49117730947648525,0.5124590504764609,3.703990021612883e-06,0.024918100952921705,0.02491439696290009,0.02128174099997565,True
0.045,13.0,3.3101198154553826,75.36525465917677,0.4976335758754385,0.5214988451093924,0.0008509231548595341,0.04299769021878466,0.04214676706392513,0.02386526923395388,True
0.045,14.0,3.263539841215279,74.32554278180727,0.504334317401763,0.5304257128225847,0.008668634803526167,0.06085142564516911,0.05218279084164294,0.026091395420821617,False
0.045,15.0,3.2182915102994327,73.30675076907447,0.5111742829141186,0.5391930394989403,0.022348565828237094,0.07838607899788057,0.05603751316964348,0.02801875658482167,False
0.045,16.0,3.1745652447606982,72.31604050694622,0.5180762595499123,0.5477706097690226,0.03615251909982468,0.09554121953804486,0.05938870043822018,0.029694350219110266,False
0.05,4.0,3.871400291574115,85.61815950860998,0.43473064894392704,0.4609277549407941,0.07814449011841187,0.13053870211214588,0.05239421199373401,0.02619710599686703,False
0.05,5.0,3.8470513693601736,86.03762398627647,0.435998991489898,0.4489446437963284,0.10211071240734323,0.12800201702020406,0.02589130461286082,0.01294565230643041,False
0.05,6.0,3.8095495124679695,85.7959657342869,0.44152495180396373,0.44471531934079395,0.11056936131841215,0.1169500963920726,0.006380735073660451,0.0031903675368302187,False
0.05,7.0,3.7620947418840447,85.10223080028634,0.44510072087661956,0.44932681390376794,0.10134637219246408,0.10979855824676076,0.008452186054296679,0.004226093027148381,False
0.05,8.0,3.7080968173783986,84.11855640912322,0.4482969552089149,0.4583684492126729,0.08326310157465454,0.10340608958217026,0.020142988007515725,0.010071494003758008,False
0.05,9.0,3.650395012703534,82.96132566080234,0.45328780842519234,0.46806292258364796,0.06387415483270416,0.09342438314961508,0.029550228316910926,0.014775114158455616,False
0.05,10.0,3.591110903122285,81.71074256308003,0.4594326607643418,0.478059400338311,0.043881199323378105,0.08113467847131625,0.03725347914793815,0.01862673957396921,False
0.05,11.0,3.531736227241369,80.42073119542901,0.4662953419421554,0.4881406361760388,0.023718727647922627,0.06740931611568918,0.04369058846776655,0.021845294233883428,False
0.05,12.0,3.4732749964612983,79.12685566565101,0.47353047943753146,0.49816921594230906,0.003661568115382063,0.05293904112493699,0.04927747300955493,0.024638736504777603,False
0.05,13.0,3.4163750225482077,77.85209142011034,0.48103177677648756,0.508057446407757,0.004834473850246331,0.037936446447024985,0.033101972596778655,0.0270256696312694,True
0.05,14.0,3.3614321549996617,76.61086320267572,0.48867139247834335,0.5177495952784814,0.0007471159342573297,0.03549919055696263,0.0347520746227053,0.029078202800138064,True
0.05,15.0,3.3086675917222,75.4118195053939,0.49635899595753846,0.5272109764578883,0.0005484362905255274,0.05442195291577658,0.053873516625251056,0.030851980500349818,True
0.05,16.0,3.258183368516408,74.25972494420037,0.5040303100355253,0.5364210150717241,0.008060620071050578,0.07284203014344817,0.0647814100723976,0.032390705036198786,False
0.055,4.0,4.081211148638178,90.66537617604901,0.41127575256937493,0.4314031962621427,0.13719360747571466,0.17744849486125025,0.04025488738553559,0.020127443692767755,False
0.055,5.0,4.044228129768373,90.7811388699308,0.41507383159026123,0.42268388530469336,0.15463222939061344,0.1698523368194777,0.01522010742886426,0.00761005371443213,False
0.055,6.0,3.991734703297383,90.1619609443106,0.4211415021826887,0.42260115162144574,0.1547976967571086,0.15771699563462274,0.0029192988775141315,0.001459649438757038,False
0.055,7.0,3.928766374168069,89.07724257734665,0.423687350370614,0.43204459240003723,0.13591081519992554,0.15262529925877208,0.01671448405884654,0.008357242029423229,False
0.055,8.0,3.859817998803157,87.71982802878858,0.42869595702643065,0.4424672944717524,0.11506541105649531,0.14260808594713836,0.02754267489064305,0.013771337445321774,False
0.055,9.0,3.7882561655717497,86.21934923282998,0.43522419302700693,0.45334554352480055,0.09330891295039895,0.12955161394598622,0.03624270099558727,0.01812135049779362,False
0.055,10.0,3.7163959371400628,84.66002513410182,0.4426698460597705,0.4643713536122357,0.07125729277552857,0.11466030788045921,0.04340301510493064,0.021701507552465193,False
0.055,11.0,3.6457432707794135,83.09526836938625,0.45058266975461525,0.4753579152929265,0.049284169414147073,0.09883466049076944,0.04955049107662237,0.02477524553831123,False
0.055,12.0,3.5772288522476097,81.55811965634688,0.4588108991876457,0.4861902297594871,0.027619540481026085,0.08237820162470862,0.05475866114368253,0.027379330571841387,False
0.055,13.0,3.5113903604512737,80.0683073193482,0.467194653254418,0.4967975907612486,0.006404818477502793,0.06561069349116404,0.059205875013661244,0.029602937506830573,False
0.055,14.0,3.4485034212936836,78.63691791602481,0.47562418616471513,0.5071374434827828,0.0028065223452824663,0.04875162767056974,0.04594510532528727,0.031513257318067645,True
0.055,15.0,3.388672222097786,77.26946109051273,0.48402349989141324,0.5171855257287178,0.00014228245597946315,0.034371051457435534,0.03422876900145607,0.03316202583730454,True
0.055,16.0,3.3318910309207617,75.96787720104327,0.4923397867477048,0.5269296465359622,0.0004649177590761388,0.053859293071924434,0.0533943753128483,0.034589859788257404,True
0.06,4.0,4.286638005304087,95.61122699490465,0.39114038204911844,0.40597708454414677,0.18804583091170646,0.21771923590176306,0.029673404990056607,0.014836702495028331,False
0.06,5.0,4.2344315893106845,95.34960051940408,0.39716374363078016,0.4002633032372545,0.19947339352549082,0.20567251273843962,0.0061991192129488,0.0030995596064743447,False
0.06,6.0,4.165033107699621,94.30367389055856,0.4010794500885264,0.40643737336335584,0.18712525327328863,0.19784109982294726,0.010715846549658625,0.005357923274829424,False
0.06,7.0,4.085363497841687,92.80000478597817,0.4055224573452519,0.4173053342174943,0.16538933156501148,0.18895508530949615,0.023565753744484663,0.011782876872242387,False
0.06,8.0,4.000859942916358,91.05633105724861,0.41210151650317034,0.42892162744682966,0.14215674510634074,0.17579696699365938,0.03364022188731863,0.016820110943659317,False
0.06,9.0,3.915249366995406,89.21040396762241,0.4199505242624857,0.4408198136395837,0.11836037272083288,0.1600989514750285,0.04173857875419562,0.020869289377098033,False
0.06,10.0,3.8309021701026755,87.34666843704102,0.42842042073665215,0.4527304051097161,0.09453918978056775,0.14315915852669558,0.04861996874612784,0.024309984373063975,False
0.06,11.0,3.7492370089742635,85.51542218795105,0.4372963519598569,0.46449373700592606,0.07101252598814793,0.12540729608028617,0.05439477009213824,0.027197385046069167,False
0.06,12.0,3.671040616929461,83.74545673969465,0.4463707118550594,0.4760146686536145,0.0479706626927713,0.1072585762898811,0.0592879135971098,0.029643956798555138,False
0.06,13.0,3.59669287008667,82.05213405979251,0.4555046487871097,0.48723745573419697,0.025525088531606076,0.0889907024257805,0.06346561389417442,0.031732806947087244,False
0.06,14.0,3.5263176576577093,80.44248969797337,0.4646046319718531,0.4981310926462389,0.003737814707522311,0.07079073605629387,0.06705292134877155,0.033526460674385805,False
0.06,15.0,3.459881717019815,78.91844986064952,0.4736073361889816,0.5086804151284694,0.004275285379053422,0.05278532762203681,0.04851004224298339,0.0350730789394878,True
0.06,16.0,3.3972585930766686,77.4788616518554,0.4824699931660184,0.518880524364116,0.001075164284731711,0.03776104872823185,0.036685884443500134,0.03641053119809762,True
0.065,4.0,4.487128320679696,100.43703901830659,0.3737104594732493,0.3839731085169262,0.23205378296614745,0.25257908105350124,0.020525298087353788,0.010262649043676852,False
0.065,5.0,4.417356069332348,99.7342718484763,0.380978794133004,0.38169366549062217,0.23661266901875552,0.23804241173399213,0.0014297427152366038,0.0007148713576181631,False
0.065,6.0,4.329513298054049,98.22366774420544,0.3838618615130292,0.39249613879069806,0.21500772241860402,0.23227627697394168,0.017268554555337656,0.008634277277668856,False
0.065,7.0,4.232319582090691,96.28288532133641,0.38996571659055135,0.4046061085857289,0.1907877828285426,0.22006856681889744,0.02928078399035483,0.014640391995177526,False
0.065,8.0,4.131956425233661,94.14794169510064,0.3979066266830134,0.4172599742127222,0.1654800515745558,0.20418674663397335,0.03870669505941754,0.019353347529708798,False
0.065,9.0,4.032333454211372,91.95968259272159,0.4068046812029647,0.43004284582873,0.1399143083425401,0.1863906375940708,0.046476329251530696,0.02323816462576528,False
