C2_L_cmH2O,R2_cmH2O_s_L,PS_cmH2O,Tmus_s,EII_min,EII_max,EF1_min,EF1_max,EII_range,EF1_range
0.025,9.0,15.0,0.6,0.21535622663005646,0.2226569950307181,0.6076781133150283,0.6113284975153589,0.007300768400661628,0.003650384200330592
0.025,9.0,15.0,1.0,0.21535622663005646,0.24126188624298475,0.6076781133150283,0.6206309431214924,0.02590565961292829,0.012952829806464061
0.025,9.0,15.0,1.4,0.21535622663005646,0.22716996766258574,0.6076781133150283,0.6135849838312929,0.011813741032529274,0.005906870516264595
0.025,10.0,5.0,0.6,0.2144827233827905,0.22286308562516866,0.6072413616913952,0.6114315428125843,0.008380362242378148,0.004190181121189074
0.025,10.0,5.0,1.0,0.21842451302501048,0.23937003589057612,0.6092122565125053,0.6196850179452881,0.02094552286556564,0.010472761432782751
0.025,10.0,5.0,1.4,0.21842451302501048,0.22781833062390916,0.6092122565125053,0.6139091653119546,0.00939381759889868,0.004696908799449284
0.025,10.0,10.0,0.6,0.21842451302501048,0.22286308562516866,0.6092122565125053,0.6114315428125843,0.004438572600158175,0.0022192863000789487
0.025,10.0,10.0,1.0,0.21842451302501048,0.23772306392438747,0.6092122565125053,0.6188615319621937,0.019298550899376987,0.00964927544968841
0.025,10.0,10.0,1.4,0.21842451302501048,0.2270888035261851,0.6092122565125053,0.6135444017630926,0.00866429050117462,0.004332145250587227
0.025,10.0,15.0,0.6,0.21842451302501045,0.22286308562516866,0.6092122565125051,0.6114315428125844,0.004438572600158203,0.0022192863000792817
0.025,10.0,15.0,1.0,0.21842451302501045,0.23521462102087642,0.6092122565125051,0.6176073105104382,0.01679010799586597,0.008395053997933055
0.025,10.0,15.0,1.4,0.21842451302501045,0.22605615964865494,0.6092122565125051,0.6130280798243275,0.007631646623644489,0.003815823311822397
0.025,11.0,5.0,0.6,0.2191033704863193,0.22461747186757314,0.6095516852431597,0.6123087359337864,0.0055141013812538275,0.0027570506906267056
0.025,11.0,5.0,1.0,0.22224353377084752,0.23393285520755847,0.6111217668854236,0.6169664276037794,0.011689321436710948,0.005844660718355765
0.025,11.0,5.0,1.4,0.22224353377084752,0.2274286788591619,0.6111217668854236,0.613714339429581,0.005185145088314386,0.0025925725441573455
0.025,11.0,10.0,0.6,0.22224353377084752,0.22461747186757314,0.6111217668854236,0.6123087359337864,0.0023739380967256196,0.001186969048362796
0.025,11.0,10.0,1.0,0.22224353377084752,0.2331647212143557,0.6111217668854236,0.6165823606071777,0.010921187443508173,0.0054605937217541145
0.025,11.0,10.0,1.4,0.22224353377084752,0.22711720398480695,0.6111217668854236,0.6135586019924035,0.00487367021395943,0.0024368351069798955
0.025,11.0,15.0,0.6,0.22224353377084802,0.2246174718675744,0.611121766885424,0.6123087359337872,0.002373938096726369,0.00118696904836324
0.025,11.0,15.0,1.0,0.22224353377084802,0.23180658579030688,0.611121766885424,0.6159032928951534,0.009563052019458868,0.004781526009729475
0.025,11.0,15.0,1.4,0.22224353377084802,0.2265726693354756,0.611121766885424,0.6132863346677379,0.004329135564627579,0.0021645677823138865
0.025,12.0,5.0,0.6,0.2251607611826,0.22762482381119573,0.6125803805913002,0.6138124119055978,0.00246406262859572,0.0012320313142976103
0.025,12.0,5.0,1.0,0.22674039490824863,0.23128844385401032,0.6133701974541244,0.6156442219270052,0.00454804894576169,0.002274024472880831
0.025,12.0,5.0,1.4,0.22674039490824863,0.22873651256730318,0.6133701974541244,0.6143682562836515,0.0019961176590545526,0.000998058829527193
0.025,12.0,10.0,0.6,0.22674039490824863,0.22762482381119573,0.6133701974541244,0.6138124119055978,0.0008844289029470986,0.00044221445147341054
